image_path,is_anomaly,anomaly_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2
infrared/ir_0001.png,1,THERMAL_ANOMALY,62,42,80,60
infrared/ir_0002.png,0,NONE,-1,-1,-1,-1
infrared/ir_0003.png,0,NONE,-1,-1,-1,-1
infrared/ir_0004.png,0,NONE,-1,-1,-1,-1
infrared/ir_0005.png,0,NONE,-1,-1,-1,-1
infrared/ir_0006.png,0,NONE,-1,-1,-1,-1
infrared/ir_0007.png,0,NONE,-1,-1,-1,-1
infrared/ir_0008.png,0,NONE,-1,-1,-1,-1
infrared/ir_0009.png,0,NONE,-1,-1,-1,-1
infrared/ir_0010.png,0,NONE,-1,-1,-1,-1
infrared/ir_0011.png,1,THERMAL_ANOMALY,74,37,84,47
infrared/ir_0012.png,0,NONE,-1,-1,-1,-1
infrared/ir_0013.png,0,NONE,-1,-1,-1,-1
infrared/ir_0014.png,0,NONE,-1,-1,-1,-1
infrared/ir_0015.png,0,NONE,-1,-1,-1,-1
infrared/ir_0016.png,0,NONE,-1,-1,-1,-1
infrared/ir_0017.png,0,NONE,-1,-1,-1,-1
infrared/ir_0018.png,0,NONE,-1,-1,-1,-1
infrared/ir_0019.png,0,NONE,-1,-1,-1,-1
infrared/ir_0020.png,0,NONE,-1,-1,-1,-1
infrared/ir_0021.png,1,THERMAL_ANOMALY,28,50,42,64
infrared/ir_0022.png,0,NONE,-1,-1,-1,-1
infrared/ir_0023.png,0,NONE,-1,-1,-1,-1
infrared/ir_0024.png,0,NONE,-1,-1,-1,-1
infrared/ir_0025.png,0,NONE,-1,-1,-1,-1
infrared/ir_0026.png,0,NONE,-1,-1,-1,-1
infrared/ir_0027.png,0,NONE,-1,-1,-1,-1
infrared/ir_0028.png,0,NONE,-1,-1,-1,-1
infrared/ir_0029.png,0,NONE,-1,-1,-1,-1
infrared/ir_0030.png,0,NONE,-1,-1,-1,-1
infrared/ir_0031.png,1,THERMAL_ANOMALY,61,41,79,59
infrared/ir_0032.png,0,NONE,-1,-1,-1,-1
infrared/ir_0033.png,0,NONE,-1,-1,-1,-1
infrared/ir_0034.png,0,NONE,-1,-1,-1,-1
infrared/ir_0035.png,0,NONE,-1,-1,-1,-1
infrared/ir_0036.png,0,NONE,-1,-1,-1,-1
infrared/ir_0037.png,0,NONE,-1,-1,-1,-1
infrared/ir_0038.png,0,NONE,-1,-1,-1,-1
infrared/ir_0039.png,0,NONE,-1,-1,-1,-1
infrared/ir_0040.png,0,NONE,-1,-1,-1,-1
infrared/ir_0041.png,1,THERMAL_ANOMALY,27,56,43,72
infrared/ir_0042.png,0,NONE,-1,-1,-1,-1
infrared/ir_0043.png,0,NONE,-1,-1,-1,-1
infrared/ir_0044.png,0,NONE,-1,-1,-1,-1
infrared/ir_0045.png,0,NONE,-1,-1,-1,-1
infrared/ir_0046.png,0,NONE,-1,-1,-1,-1
infrared/ir_0047.png,0,NONE,-1,-1,-1,-1
infrared/ir_0048.png,0,NONE,-1,-1,-1,-1
infrared/ir_0049.png,0,NONE,-1,-1,-1,-1
infrared/ir_0050.png,0,NONE,-1,-1,-1,-1
