timestamp,temperature,voltage,current,battery,pressure,vibration,is_anomaly,anomaly_type
2026-08-29 00:00:00,22.609,28.477,4.979,87.547,100.758,0.219,0,NONE
2026-08-29 00:05:00,19.92,28.313,4.745,87.465,100.501,0.209,0,NONE
2026-08-29 00:10:00,23.501,27.748,4.855,88.99,101.821,0.235,0,NONE
2026-08-29 00:15:00,48.474,27.474,5.222,88.159,101.602,0.217,1,THERMAL
2026-08-29 00:20:00,18.098,26.962,5.001,87.691,99.614,0.243,0,NONE
2026-08-29 00:25:00,48.451,27.81,5.119,88.224,102.647,0.232,1,THERMAL
2026-08-29 00:30:00,22.256,28.847,5.235,86.104,101.187,0.253,0,NONE
2026-08-29 00:35:00,21.368,28.152,4.869,87.72,99.967,0.213,0,NONE
2026-08-29 00:40:00,21.966,27.804,5.265,89.318,102.727,0.232,0,NONE
2026-08-29 00:45:00,20.294,28.163,5.133,87.791,102.051,0.189,0,NONE
2026-08-29 00:50:00,23.759,27.454,4.568,87.704,99.783,0.179,0,NONE
2026-08-29 00:55:00,23.556,27.896,5.505,88.054,103.433,0.26,0,NONE
2026-08-29 01:00:00,22.132,28.035,4.825,88.296,102.091,0.208,0,NONE
2026-08-29 01:05:00,24.254,27.97,4.421,85.947,101.288,0.228,0,NONE
2026-08-29 01:10:00,22.935,28.277,4.634,86.164,103.208,0.204,0,NONE
2026-08-29 01:15:00,20.281,28.121,4.643,87.643,101.491,0.179,0,NONE
2026-08-29 01:20:00,22.738,28.234,5.018,86.868,101.266,0.2,0,NONE
2026-08-29 01:25:00,20.082,27.759,4.904,88.455,100.508,0.25,0,NONE
2026-08-29 01:30:00,23.757,28.314,4.882,87.118,101.998,0.219,0,NONE
2026-08-29 01:35:00,21.9,28.57,5.217,85.787,101.872,0.14,0,NONE
2026-08-29 01:40:00,21.63,27.66,5.119,86.286,101.318,0.192,0,NONE
2026-08-29 01:45:00,20.638,27.689,5.111,85.065,100.352,0.262,0,NONE
2026-08-29 01:50:00,24.445,28.468,5.143,87.043,101.456,0.193,0,NONE
2026-08-29 01:55:00,21.691,24.931,5.216,87.044,101.216,0.137,1,VOLTAGE
2026-08-29 02:00:00,21.143,28.491,4.262,86.82,99.7,0.266,0,NONE
2026-08-29 02:05:00,21.296,27.845,4.872,87.988,99.534,0.224,0,NONE
2026-08-29 02:10:00,23.065,28.509,4.237,88.049,101.978,0.198,0,NONE
2026-08-29 02:15:00,22.731,28.046,5.013,86.919,98.178,0.187,0,NONE
2026-08-29 02:20:00,22.825,28.09,4.998,85.312,101.546,0.238,0,NONE
2026-08-29 02:25:00,22.862,28.548,5.366,87.479,100.726,0.181,0,NONE
2026-08-29 02:30:00,26.283,27.873,5.416,87.394,102.87,0.24,0,NONE
2026-08-29 02:35:00,41.657,27.671,5.071,87.163,100.708,0.219,1,THERMAL
2026-08-29 02:40:00,20.976,27.843,4.825,87.665,102.091,0.209,0,NONE
2026-08-29 02:45:00,20.372,28.158,5.17,85.913,100.824,0.205,0,NONE
2026-08-29 02:50:00,23.232,27.452,4.815,88.417,101.436,0.194,0,NONE
2026-08-29 02:55:00,24.258,28.223,5.0,86.007,102.184,0.237,0,NONE
2026-08-29 03:00:00,21.772,27.811,5.345,87.339,100.745,0.17,0,NONE
2026-08-29 03:05:00,20.32,28.402,4.805,85.355,102.496,0.143,0,NONE
2026-08-29 03:10:00,20.351,27.162,5.282,85.926,100.108,0.222,0,NONE
2026-08-29 03:15:00,23.301,27.725,5.237,87.848,101.654,0.222,0,NONE
2026-08-29 03:20:00,23.487,27.41,4.666,86.391,102.407,1.09,1,VIBRATION
2026-08-29 03:25:00,23.086,27.711,5.341,87.237,102.092,0.214,0,NONE
2026-08-29 03:30:00,20.669,28.087,5.244,86.72,103.6,0.189,0,NONE
2026-08-29 03:35:00,22.464,27.937,5.036,86.411,100.384,0.228,0,NONE
2026-08-29 03:40:00,22.233,27.911,4.733,87.551,99.645,2.234,1,VIBRATION
2026-08-29 03:45:00,22.437,27.944,4.699,86.236,100.107,0.183,0,NONE
2026-08-29 03:50:00,23.743,28.071,4.812,84.965,102.093,0.189,0,NONE
2026-08-29 03:55:00,22.447,27.647,5.19,85.712,101.898,0.271,0,NONE
2026-08-29 04:00:00,23.358,28.247,4.666,86.761,101.423,0.139,0,NONE
2026-08-29 04:05:00,22.135,28.232,5.153,86.601,99.952,0.217,0,NONE
2026-08-29 04:10:00,22.578,28.135,4.565,84.996,102.22,0.141,0,NONE
2026-08-29 04:15:00,23.263,28.195,4.929,85.636,99.83,0.196,0,NONE
2026-08-29 04:20:00,19.086,28.104,5.038,85.715,102.691,0.185,0,NONE
2026-08-29 04:25:00,21.361,23.9,5.856,85.853,104.729,0.127,1,VOLTAGE
2026-08-29 04:30:00,21.059,27.97,4.518,85.009,101.74,0.214,0,NONE
2026-08-29 04:35:00,20.722,27.893,5.515,85.572,102.0,0.187,0,NONE
2026-08-29 04:40:00,21.45,27.736,5.052,85.457,100.709,0.127,0,NONE
2026-08-29 04:45:00,24.99,27.639,5.144,86.622,99.128,0.229,0,NONE
2026-08-29 04:50:00,20.268,27.564,5.041,86.617,100.577,0.25,0,NONE
2026-08-29 04:55:00,23.937,27.689,5.156,85.818,99.989,0.252,0,NONE
2026-08-29 05:00:00,18.634,27.975,4.946,85.586,99.564,0.213,0,NONE
2026-08-29 05:05:00,21.33,28.117,5.509,85.977,103.367,0.202,0,NONE
2026-08-29 05:10:00,22.326,28.018,4.84,85.177,101.627,0.246,0,NONE
2026-08-29 05:15:00,23.172,27.732,5.396,84.878,101.756,0.259,0,NONE
2026-08-29 05:20:00,23.422,28.315,4.774,85.008,113.197,0.24,1,PRESSURE
2026-08-29 05:25:00,23.587,28.259,4.979,85.217,101.093,0.167,0,NONE
2026-08-29 05:30:00,21.303,27.944,4.625,84.759,102.457,0.207,0,NONE
2026-08-29 05:35:00,21.075,27.771,5.159,85.785,101.261,0.215,0,NONE
2026-08-29 05:40:00,23.716,28.192,5.506,86.204,101.937,0.137,0,NONE
2026-08-29 05:45:00,21.617,28.066,4.973,84.315,101.065,0.216,0,NONE
2026-08-29 05:50:00,19.449,27.493,4.931,85.57,100.889,0.28,0,NONE
2026-08-29 05:55:00,19.733,27.976,4.61,85.339,99.612,0.222,0,NONE
2026-08-29 06:00:00,20.161,28.092,4.92,85.753,98.927,0.252,0,NONE
2026-08-29 06:05:00,22.994,27.685,4.443,85.435,100.986,0.206,0,NONE
2026-08-29 06:10:00,22.285,28.066,4.68,84.247,101.368,0.197,0,NONE
2026-08-29 06:15:00,23.381,27.491,5.079,84.365,99.757,0.213,0,NONE
2026-08-29 06:20:00,21.145,28.468,5.462,85.364,101.259,0.171,0,NONE
2026-08-29 06:25:00,22.317,28.437,5.983,86.128,101.365,0.166,0,NONE
2026-08-29 06:30:00,23.251,27.912,4.795,83.499,98.713,0.244,0,NONE
2026-08-29 06:35:00,21.381,28.127,5.502,85.512,100.202,0.248,0,NONE
2026-08-29 06:40:00,22.914,27.157,5.085,86.152,101.789,0.165,0,NONE
2026-08-29 06:45:00,20.676,27.595,4.947,85.043,101.764,0.234,0,NONE
2026-08-29 06:50:00,21.274,27.897,5.151,85.57,99.916,0.197,0,NONE
2026-08-29 06:55:00,21.237,24.238,5.022,84.533,101.49,0.212,1,VOLTAGE
2026-08-29 07:00:00,19.608,28.25,5.039,84.965,102.527,0.216,0,NONE
2026-08-29 07:05:00,22.974,28.699,4.857,83.728,102.232,0.235,0,NONE
2026-08-29 07:10:00,21.061,27.588,4.511,83.115,101.186,0.203,0,NONE
2026-08-29 07:15:00,22.025,27.707,4.46,85.709,100.738,1.057,1,VIBRATION
2026-08-29 07:20:00,22.961,28.082,5.229,84.132,100.545,0.211,0,NONE
2026-08-29 07:25:00,22.893,28.564,4.903,84.521,101.861,0.222,0,NONE
2026-08-29 07:30:00,23.331,27.572,4.791,83.741,101.534,0.171,0,NONE
2026-08-29 07:35:00,21.803,28.087,5.003,83.687,102.055,0.276,0,NONE
2026-08-29 07:40:00,21.153,28.637,5.278,84.641,101.458,0.216,0,NONE
2026-08-29 07:45:00,21.841,27.422,5.063,84.161,102.283,0.225,0,NONE
2026-08-29 07:50:00,18.625,27.552,4.77,85.012,101.414,0.144,0,NONE
2026-08-29 07:55:00,19.106,27.852,5.429,85.037,102.242,0.171,0,NONE
2026-08-29 08:00:00,19.355,27.818,5.553,84.897,102.345,0.243,0,NONE
2026-08-29 08:05:00,20.006,28.284,5.173,84.796,100.335,0.21,0,NONE
2026-08-29 08:10:00,22.8,22.802,5.341,85.832,99.13,0.133,1,VOLTAGE
2026-08-29 08:15:00,20.189,27.379,5.435,83.681,103.152,0.236,0,NONE
2026-08-29 08:20:00,21.244,28.18,5.396,84.456,101.608,0.181,0,NONE
2026-08-29 08:25:00,24.598,27.798,5.215,85.371,99.243,0.249,0,NONE
2026-08-29 08:30:00,21.287,28.446,5.209,85.442,100.443,0.197,0,NONE
2026-08-29 08:35:00,23.475,27.78,5.182,83.258,102.226,0.207,0,NONE
2026-08-29 08:40:00,37.271,27.777,4.616,84.11,100.964,0.241,1,THERMAL
2026-08-29 08:45:00,21.589,28.189,5.245,9.635,100.686,0.169,1,BATTERY
2026-08-29 08:50:00,20.1,28.267,4.525,84.696,102.981,0.165,0,NONE
2026-08-29 08:55:00,21.322,28.157,4.722,84.411,100.043,0.193,0,NONE
2026-08-29 09:00:00,23.681,27.41,5.456,84.046,100.342,0.229,0,NONE
2026-08-29 09:05:00,18.545,28.188,5.294,83.878,101.554,0.153,0,NONE
2026-08-29 09:10:00,22.869,27.638,5.521,84.381,101.769,0.142,0,NONE
2026-08-29 09:15:00,40.401,28.082,4.905,83.913,101.896,0.229,1,THERMAL
2026-08-29 09:20:00,20.812,27.502,4.597,84.046,102.393,0.179,0,NONE
2026-08-29 09:25:00,19.108,28.156,4.916,84.108,101.538,0.186,0,NONE
2026-08-29 09:30:00,22.144,27.718,5.036,83.468,101.887,0.135,0,NONE
2026-08-29 09:35:00,20.941,27.551,5.028,84.401,100.989,0.176,0,NONE
