timestamp,wavefront_rms_um,tip_error_um,tilt_error_um,defocus_um,astigmatism_um,coma_um,is_anomaly,anomaly_type
2026-08-29 00:00:00,0.08305,0.01364,-0.00059,-0.00849,-0.00452,0.00442,0,NONE
2026-08-29 00:01:00,0.0696,0.00895,-0.00729,-0.00937,-0.00666,0.00199,0,NONE
2026-08-29 00:02:00,0.0875,-0.00719,-0.00414,0.01988,0.00434,0.00807,0,NONE
2026-08-29 00:03:00,0.08941,-0.01503,0.00634,0.00495,0.16867,0.00388,1,ASTIGMATISM
2026-08-29 00:04:00,0.06049,-0.02965,3e-05,-0.00318,-0.01405,0.00974,0,NONE
2026-08-29 00:05:00,0.2146,-0.00543,0.0034,0.00748,0.01123,0.00736,1,WAVEFRONT_DISTORTION
2026-08-29 00:06:00,0.08128,0.0242,0.0067,-0.03161,-0.00094,0.01217,0,NONE
2026-08-29 00:07:00,0.07684,0.00435,-0.00375,-0.00065,-0.01111,0.00287,0,NONE
2026-08-29 00:08:00,0.07983,-0.0056,0.00756,0.02996,0.01189,0.00724,0,NONE
2026-08-29 00:09:00,0.07147,0.00465,0.00379,0.00199,0.00626,-0.00246,0,NONE
2026-08-29 00:10:00,0.08879,-0.01561,-0.01235,0.00102,-0.01265,-0.00481,0,NONE
2026-08-29 00:11:00,0.08778,-0.00297,0.01442,0.00822,0.01777,0.01365,0,NONE
2026-08-29 00:12:00,0.08066,0.00099,-0.00501,0.01343,0.00659,0.00173,0,NONE
2026-08-29 00:13:00,0.09127,-0.00086,-0.01655,-0.02996,-0.0001,0.00644,0,NONE
2026-08-29 00:14:00,0.08468,0.00791,-0.01045,-0.02523,0.0159,0.00099,0,NONE
2026-08-29 00:15:00,0.07141,0.00345,-0.01021,0.00315,0.00159,-0.00469,0,NONE
2026-08-29 00:16:00,0.08369,0.00668,0.00052,-0.01072,-0.00028,9e-05,0,NONE
2026-08-29 00:17:00,0.07041,-0.00688,-0.00274,0.01968,-0.0066,0.01149,0,NONE
2026-08-29 00:18:00,0.08878,0.00898,-0.00337,-0.00473,0.00582,0.00444,0,NONE
2026-08-29 00:19:00,0.0795,0.01629,0.0062,-0.02902,0.00477,-0.01369,0,NONE
2026-08-29 00:20:00,0.07815,-0.0097,0.0034,-0.01902,0.00015,-0.00172,0,NONE
2026-08-29 00:21:00,0.07319,-0.00888,0.00316,-0.04125,-0.0079,0.01426,0,NONE
2026-08-29 00:22:00,0.09223,0.01336,0.0041,-0.00351,0.0013,-0.00171,0,NONE
2026-08-29 00:23:00,0.07845,-0.00191,0.00616,-0.00283,-0.0007,0.09303,1,COMA
2026-08-29 00:24:00,0.07572,0.01404,-0.02108,-0.00637,-0.01333,0.01514,0,NONE
2026-08-29 00:25:00,0.07648,-0.00443,-0.00364,0.01618,-0.01472,0.00546,0,NONE
2026-08-29 00:26:00,0.08532,0.01455,-0.0218,0.01798,0.00565,-0.00056,0,NONE
2026-08-29 00:27:00,0.08365,0.00131,0.00036,-0.00256,-0.02602,-0.00297,0,NONE
2026-08-29 00:28:00,0.08413,0.00258,-5e-05,-0.03202,0.00205,0.00866,0,NONE
2026-08-29 00:29:00,0.08431,0.01565,0.01046,0.00926,-0.00478,-0.00434,0,NONE
2026-08-29 00:30:00,0.10142,-0.00362,0.01188,0.00833,0.01308,0.00919,0,NONE
2026-08-29 00:31:00,0.07594,-0.00941,0.00203,0.00464,-0.00493,0.13089,1,COMA
2026-08-29 00:32:00,0.07488,-0.00449,-0.005,0.01472,0.00659,0.00196,0,NONE
2026-08-29 00:33:00,0.07186,0.00452,0.00485,-0.01747,-0.00397,0.00116,0,NONE
2026-08-29 00:34:00,0.08616,-0.01566,-0.00528,0.03013,0.00114,-0.0014,0,NONE
2026-08-29 00:35:00,0.09129,0.00637,-1e-05,-0.01439,0.00737,0.00837,0,NONE
2026-08-29 00:36:00,0.07886,-0.00539,0.00986,0.01124,-0.00463,-0.00692,0,NONE
2026-08-29 00:37:00,0.0716,0.01148,-0.00558,-0.02531,0.00997,-0.01298,0,NONE
2026-08-29 00:38:00,0.07176,-0.02394,0.00806,-0.01395,-0.00994,0.00492,0,NONE
2026-08-29 00:39:00,0.08651,-0.00787,0.00677,0.02275,0.00295,0.00505,0,NONE
2026-08-29 00:40:00,0.27132,-0.01686,-0.00955,-0.00391,0.00923,0.00384,1,WAVEFRONT_DISTORTION
2026-08-29 00:41:00,0.08543,-0.00826,0.00974,0.0126,0.0066,0.00326,0,NONE
2026-08-29 00:42:00,0.07334,0.00248,0.00699,0.00355,0.01916,-0.00256,0,NONE
2026-08-29 00:43:00,0.08232,-0.00179,0.00102,-0.00157,-0.00763,0.0063,0,NONE
2026-08-29 00:44:00,0.08117,0.10716,0.11885,0.02046,-0.01379,-0.00036,1,TIP_TILT_ERROR
2026-08-29 00:45:00,0.08219,-0.00159,-0.00859,-0.00355,-0.00994,-0.0039,0,NONE
2026-08-29 00:46:00,0.08871,0.00203,-0.00538,-0.02671,0.0066,-0.0025,0,NONE
2026-08-29 00:47:00,0.08224,-0.01009,0.00543,-0.01205,0.00498,0.01617,0,NONE
2026-08-29 00:48:00,0.08679,0.00707,-0.00956,0.00827,0.00102,-0.01388,0,NONE
2026-08-29 00:49:00,0.08068,0.00663,0.00438,0.00593,-0.01123,0.004,0,NONE
2026-08-29 00:50:00,0.08289,0.00385,-0.01242,-0.02351,0.00767,-0.01343,0,NONE
2026-08-29 00:51:00,0.08631,0.00557,-0.00204,-0.01087,-0.01225,-0.00087,0,NONE
2026-08-29 00:52:00,0.06543,0.00296,0.0011,-0.00873,0.01159,-0.00347,0,NONE
2026-08-29 00:53:00,0.0768,0.02035,0.02445,-0.00548,0.16936,-0.01668,1,ASTIGMATISM
2026-08-29 00:54:00,0.0753,-0.00087,-0.01377,-0.02064,0.00366,0.00311,0,NONE
2026-08-29 00:55:00,0.07361,-0.00307,0.01472,-0.00943,0.00583,-0.00304,0,NONE
2026-08-29 00:56:00,0.07725,-0.00754,0.0015,-0.01093,-0.00493,-0.01679,0,NONE
2026-08-29 00:57:00,0.09495,-0.01032,0.00411,0.01157,-0.0181,0.00672,0,NONE
2026-08-29 00:58:00,0.07134,-0.01244,0.00118,0.01214,-0.00603,0.01148,0,NONE
2026-08-29 00:59:00,0.08968,-0.00889,0.00445,-0.00219,-0.01093,0.01192,0,NONE
2026-08-29 01:00:00,0.06317,-0.00071,-0.00154,-0.00588,-0.01447,0.00287,0,NONE
